stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-101.5422847698994,9.992317965291141e-11,306,800,0
polish,2,-101.54228494980629,9.998064378633965e-11,318,800,0
polish,3,-101.54228495029687,9.998489290718417e-11,318,800,0
polish,4,-101.54228495027644,9.999773794817932e-11,318,800,0
polish,5,-101.54228495028639,9.999836728181835e-11,318,800,0
polish,6,-101.54228502257584,9.998348108593856e-12,438,1600,0
polish,7,-101.54228502300113,9.985008142774698e-12,441,1600,0
polish,8,-101.54228502300066,9.99021612525509e-12,441,1600,0
polish,9,-101.54228502300037,9.990597615396111e-12,441,1600,0
polish,10,-101.54228502300066,9.990454084936577e-12,441,1600,0
polish,11,-101.54228503054937,9.997887225670984e-13,605,2400,0
polish,12,-101.54228503056355,9.989088095353957e-13,605,2400,0
polish,13,-101.54228503056355,9.99354353039918e-13,605,2400,0
polish,14,-101.54228503056449,9.995150682583592e-13,605,2400,0
polish,15,-101.54228503056433,9.9949301903919e-13,605,2400,0
polish,16,-101.54228503056422,9.9954656428038e-13,605,4000,0
polish,17,-101.54228503056424,9.99563594041448e-13,605,4000,0
polish,18,-101.54228503056349,9.995692206500081e-13,605,4000,0
polish,19,-101.54228503056345,9.995711897566487e-13,605,4000,0
polish,20,-101.54228503056409,9.99571934459395e-13,605,4000,0
polish,21,-101.5422850305639,9.995722425633594e-13,605,6000,0
polish,22,-101.54228503056423,9.995723816812924e-13,605,6000,0
polish,23,-101.54228503056393,9.995724491806483e-13,605,6000,0
polish,24,-101.5422850305633,9.995724836571765e-13,605,6000,0
polish,25,-101.54228503056379,9.995725018568652e-13,605,6000,0
