stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-95.47057675810389,9.999713158641355e-11,439,800,0
polish,2,-95.47057707906208,9.998501105743364e-11,446,800,0
polish,3,-95.4705770780067,9.9999212186845e-11,445,800,0
polish,4,-95.47057707798194,9.999704945121513e-11,445,800,0
polish,5,-95.47057707801031,9.99938071907052e-11,445,800,0
polish,6,-95.47057714386148,9.998726699055878e-12,622,1600,0
polish,7,-95.47057714473485,9.998593431518531e-12,626,1600,0
polish,8,-95.4705771447473,9.998992455079819e-12,626,1600,0
polish,9,-95.47057714475164,9.999511668856085e-12,626,1600,0
polish,10,-95.47057714475051,9.999399116059183e-12,626,1600,0
polish,11,-95.47057715251582,9.99628160165752e-13,852,2400,0
polish,12,-95.47057715292007,9.996353261617662e-13,868,2400,0
polish,13,-95.47057715292823,9.998736693612448e-13,868,2400,0
polish,14,-95.47057715293471,9.999965397288172e-13,868,2400,0
polish,15,-95.4705771529359,9.999892699763813e-13,868,2400,0
polish,16,-95.47057715293649,9.999781589905032e-13,868,4000,0
polish,17,-95.4705771529365,9.999678370971958e-13,868,4000,0
polish,18,-95.47057715293565,9.999599272198291e-13,868,4000,0
polish,19,-95.47057715293575,9.999546934902187e-13,868,4000,0
polish,20,-95.47057715293545,9.99951553898505e-13,868,4000,0
polish,21,-95.47057715293592,9.999497779648016e-13,868,6000,0
polish,22,-95.47057715293603,9.99948805968713e-13,868,6000,0
polish,23,-95.47057715293641,9.999482834091862e-13,868,6000,0
polish,24,-95.4705771529362,9.999480051420831e-13,868,6000,0
polish,25,-95.47057715293654,9.999478577097908e-13,868,6000,0
