stage,sweep,energy,max_truncerr,maxlinkdim,allowed_maxdim,hit_maxdim
polish,1,-100.14811354471168,9.998457841441796e-11,355,800,0
polish,2,-100.14811373953692,9.99942462101265e-11,358,800,0
polish,3,-100.14811373577867,9.995481522779906e-11,356,800,0
polish,4,-100.14811373616534,9.995504464812139e-11,356,800,0
polish,5,-100.14811373616641,9.995522123774697e-11,356,800,0
polish,6,-100.14811380503001,9.996982551171124e-12,485,1600,0
polish,7,-100.14811380576165,9.998754980724845e-12,488,1600,0
polish,8,-100.14811380583745,9.998325729489403e-12,488,1600,0
polish,9,-100.14811380583943,9.996388622689422e-12,487,1600,0
polish,10,-100.14811380591499,9.997995190226899e-12,490,1600,0
polish,11,-100.14811381392204,9.99907124392976e-13,667,2400,0
polish,12,-100.14811381406108,9.994350070356824e-13,672,2400,0
polish,13,-100.14811381408057,9.998722683311164e-13,672,2400,0
polish,14,-100.1481138140805,9.996785617284513e-13,672,2400,0
polish,15,-100.14811381408057,9.996857606112465e-13,672,2400,0
polish,16,-100.14811381408224,9.996907426365743e-13,672,4000,0
polish,17,-100.14811381408165,9.996992946261814e-13,672,4000,0
polish,18,-100.14811381408167,9.99712918395459e-13,672,4000,0
polish,19,-100.14811381408197,9.997332954533657e-13,672,4000,0
polish,20,-100.14811381408272,9.997625291219089e-13,672,4000,0
polish,21,-100.14811381408225,9.998031036106236e-13,672,6000,0
polish,22,-100.1481138140828,9.998577015549798e-13,672,6000,0
polish,23,-100.14811381408266,9.99928808246014e-13,672,6000,0
polish,24,-100.14811381408293,9.998406713768618e-13,672,6000,0
polish,25,-100.14811381408242,9.997880109255901e-13,672,6000,0
